                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.98863,                0.54102,                 1.0308,                0.96451,                0.93078,                0.98367,                0.67857,                 1.2086,                0.53058,                 1.1994,              0.0002576,              0.0002576,              0.0002576
                     91,                 0.9951,                0.52155,                 1.0531,                  0.939,                 0.9489,                0.97796,                0.66457,                 1.2305,                0.54704,                 1.2128,              0.0002378,              0.0002378,              0.0002378
                     92,                0.96795,                0.53163,                 1.0501,                0.96129,                0.95205,                0.98127,                 0.6717,                 1.2193,                0.53777,                 1.2139,               0.000218,               0.000218,               0.000218
                     93,                0.95755,                 0.4971,                 1.0485,                0.95136,                0.95434,                0.98311,                0.67357,                 1.2188,                0.53798,                 1.2152,              0.0001982,              0.0001982,              0.0001982
                     94,                 0.9603,                0.49988,                 1.0444,                0.95459,                0.95205,                0.98118,                0.68163,                 1.2073,                0.53658,                 1.2073,              0.0001784,              0.0001784,              0.0001784
                     95,                0.94532,                0.49573,                 1.0445,                0.95959,                0.96119,                0.98295,                0.68152,                  1.219,                0.53992,                 1.2146,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.9309,                0.49134,                 1.0349,                0.96087,                0.95297,                0.98144,                0.67839,                   1.22,                0.53351,                 1.2114,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.9301,                0.48176,                 1.0283,                0.96108,                0.95845,                0.98262,                0.68276,                 1.2154,                0.53865,                 1.2069,               0.000119,               0.000119,               0.000119
                     98,                0.91122,                0.48369,                 1.0207,                0.96759,                0.94749,                0.98235,                0.68359,                  1.216,                0.53009,                 1.2089,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.90643,                0.47823,                 1.0224,                0.95284,                0.96119,                0.98241,                0.68263,                  1.213,                0.53354,                 1.2127,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.91503,                0.47327,                 1.0237,                0.95459,                0.95982,                0.98152,                0.68047,                 1.2182,                0.53985,                 1.2127,               5.96e-05,               5.96e-05,               5.96e-05
